City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
335,Nakhon Phanom,TH,79.3,overcast clouds,17.3333,104.4167,
337,Ratnagiri,IN,82.31,few clouds,16.9833,73.3,
339,Shahpur,IN,87.1,overcast clouds,16.7,76.8333,
346,Beatrice,US,83.84,overcast clouds,40.2681,-96.74700000000001,
349,Monteria,CO,84.87,overcast clouds,8.748,-75.8814,
351,Raga,SS,81.3,overcast clouds,8.4596,25.678,
352,Gazli,UZ,81.86,clear sky,40.1333,63.45,
353,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,
357,Selma,US,80.1,clear sky,36.5708,-119.6121,
360,Iguape,BR,77.81,few clouds,-24.7081,-47.5553,
363,Balkanabat,TM,87.82,clear sky,39.5108,54.3671,
364,Ko Samui,TH,85.05,overcast clouds,9.5357,99.9357,
365,Morristown,US,88.21,clear sky,36.214,-83.2949,
366,Villa Bruzual,VE,87.31,overcast clouds,9.3328,-69.1208,
369,Talara,PE,81.36,clear sky,-4.5772,-81.2719,
370,Sibu,MY,77.31,scattered clouds,2.3,111.8167,
373,The Valley,AI,85.86,few clouds,18.217,-63.0578,
375,Omboue,GA,77.52,overcast clouds,-1.5746,9.2618,
376,Ca Mau,VN,79.43,overcast clouds,9.1769,105.15,
378,Wawa,NG,81.86,light rain,9.9022,4.4192,
388,Hamilton,US,86.77,overcast clouds,39.1834,-84.5333,
389,Brownwood,US,80.37,overcast clouds,31.7093,-98.9912,
390,Matay,EG,78.53,clear sky,28.419,30.7792,
392,San Patricio,US,87.03,overcast clouds,28.017,-97.5169,
394,Waingapu,ID,75.27,scattered clouds,-9.6567,120.2641,
399,Marzuq,YE,81.55,broken clouds,14.4,46.4667,
402,Urucara,BR,85.62,overcast clouds,-2.5364,-57.76,
403,Awjilah,LY,81.46,clear sky,29.1081,21.2869,
404,Shenzhen,CN,86.27,few clouds,22.5455,114.0683,
405,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,
406,Sibolga,ID,76.86,broken clouds,1.7427,98.7792,
408,Matara,LK,80.11,overcast clouds,5.9485,80.5353,
409,Vila Velha,BR,84.96,clear sky,-20.3297,-40.2925,
411,Tarakan,ID,79.47,light rain,3.3,117.6333,
421,Bengkulu,ID,76.06,overcast clouds,-3.8004,102.2655,
422,Lalmohan,BD,85.8,moderate rain,22.3384,90.7419,
428,Finschhafen,PG,77.9,light rain,-6.6024,147.8681,
441,Pemangkat,ID,78.1,overcast clouds,1.1667,108.9667,
442,Saint-Georges,GD,85.68,broken clouds,12.0564,-61.7485,
444,Auki,SB,76.78,heavy intensity rain,-8.7676,160.7034,
445,Alofi,NU,78.8,few clouds,-19.0595,-169.9187,
448,Linhares,BR,85.26,overcast clouds,-19.3911,-40.0722,
457,Baculin,PH,78.22,overcast clouds,7.4525,126.5842,
459,Gunupur,IN,84.63,overcast clouds,19.0833,83.8167,
471,Campoalegre,CO,85.28,broken clouds,2.6849,-75.3231,
473,Tarauaca,BR,82.67,light rain,-8.1614,-70.7656,
475,Puerto Ayacucho,VE,87.31,scattered clouds,5.6639,-67.6236,
476,Sola,VU,78.84,overcast clouds,-13.8833,167.55,
478,Lorengau,PG,79.7,overcast clouds,-2.0226,147.2712,
485,Paragominas,BR,81.9,overcast clouds,-2.9667,-47.4833,
486,Mersing,MY,78.71,overcast clouds,2.4312,103.8405,
489,Kirakira,SB,76.32,light rain,-10.4544,161.9205,
491,Balarampur,IN,88.45,few clouds,23.1167,86.2167,
496,Thai Binh,VN,84.2,broken clouds,20.45,106.3333,
497,Niquero,CU,82.44,light rain,20.0431,-77.5828,
500,Monrovia,LR,83.97,overcast clouds,6.3005,-10.7969,
501,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,
506,Bud,US,86.49,overcast clouds,39.446999999999996,-86.1758,
509,Nagaur,IN,86.77,clear sky,27.2,73.7333,
511,Hambantota,LK,81.72,overcast clouds,6.1241,81.1185,
513,Alwar,IN,83.5,clear sky,27.5667,76.6,
515,Tura,IN,79.39,clear sky,25.5198,90.2201,
516,Nanakuli,US,81.03,clear sky,21.3906,-158.1547,
518,Labuhan,ID,78.39,overcast clouds,-6.8844,112.2051,
521,Port Dover,CA,79.59,overcast clouds,42.7834,-80.1997,
522,Warri,NG,79.25,overcast clouds,5.5167,5.75,
523,Manjeshwar,IN,81.55,broken clouds,12.7194,74.8861,
524,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,
525,Loiza,PR,83.8,broken clouds,18.4313,-65.8802,
527,Qandala,SO,86.07,scattered clouds,11.472000000000001,49.8728,
530,Tuy Hoa,VN,77.59,overcast clouds,13.0833,109.3,
535,Great Bend,US,75.33,overcast clouds,38.3645,-98.7648,
542,Aitape,PG,77.76,moderate rain,-3.1374,142.3475,
544,Batticaloa,LK,81.16,overcast clouds,7.7102,81.6924,
545,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,
551,Umm Kaddadah,SD,84.54,clear sky,13.6017,26.6876,
553,Malakal,SS,85.33,scattered clouds,9.5334,31.6605,
554,San Juan De Uraba,CO,84.54,overcast clouds,8.7592,-76.5297,
555,Sao Jose Da Coroa Grande,BR,80.65,clear sky,-8.8978,-35.1478,
557,Najran,SA,86.65,clear sky,17.4924,44.1277,
559,Kibala,TD,84.15,few clouds,9.1104,18.3463,
567,Mitsamiouli,KM,78.8,few clouds,-11.3847,43.2844,
569,Nha Trang,VN,78.8,overcast clouds,12.25,109.1833,
575,Mangrol,IN,84.24,clear sky,21.1167,70.1167,
579,Mozzozzin,PH,77.18,clear sky,17.45,121.75,
585,Chon Daen,TH,83.57,clear sky,16.1895,100.8596,
586,Parambu,BR,87.73,scattered clouds,-6.2111,-40.6944,
589,Belle Glade,US,85.98,clear sky,26.6845,-80.6676,
591,Buritizeiro,BR,89.17,overcast clouds,-17.3511,-44.9622,
592,Mitu,CO,86.34,scattered clouds,1.1983,-70.1733,
595,Buchanan,LR,84.16,scattered clouds,5.8808,-10.0467,
597,Banda Aceh,ID,81.48,overcast clouds,5.5577,95.3222,
598,Palmer,US,87.03,broken clouds,42.1584,-72.3287,
600,Mahibadhoo,MV,83.97,overcast clouds,3.7833,72.9667,
603,Sao Sebastiao,BR,75.81,overcast clouds,-23.76,-45.4097,
607,Caiaponia,BR,76.8,heavy intensity rain,-16.9567,-51.8103,
613,Robat Karim,IR,80.46,scattered clouds,35.4846,51.0829,
614,Zhongshan,CN,80.94,broken clouds,21.3226,110.5829,
615,Guerrero,MX,89.74,scattered clouds,17.6667,-100.0,
619,Tifton,US,89.01,clear sky,31.4505,-83.5085,
624,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,
625,Balabac,PH,81.64,overcast clouds,7.9868,117.0645,
628,Japoata,BR,78.24,overcast clouds,-10.3467,-36.8011,
629,Zhanakorgan,KZ,80.35,few clouds,43.9098,67.2495,
637,Cozumel,MX,86.11,scattered clouds,20.5083,-86.9458,
638,Taganak,PH,75.34,overcast clouds,6.0833,118.3,
644,Thinadhoo,MV,83.61,overcast clouds,0.5333,72.9333,
647,Hurghada,EG,82.4,clear sky,27.2574,33.8129,
648,Sur,OM,86.86,clear sky,22.5667,59.5289,
651,Mecca,SA,88.48,clear sky,21.4267,39.8261,
653,Meadow Lake,US,80.83,clear sky,34.8014,-106.5436,
656,Belmonte,BR,82.9,few clouds,-15.8631,-38.8828,
657,Ajdabiya,LY,77.23,clear sky,30.7554,20.2263,
659,Male,MV,84.45,overcast clouds,4.1748,73.5089,
661,Wamba,NG,76.48,light rain,8.9333,8.6,
662,Stephenville,US,75.54,broken clouds,32.2207,-98.2023,
663,Sinnamary,GF,78.66,overcast clouds,5.3833,-52.95,
676,Khuzdar,PK,75.47,clear sky,27.7384,66.6434,
678,Pinas,EC,83.52,light rain,-3.6667,-79.65,
679,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,
